Date  20001101
Article  0  : ('伦敦外汇市场行情新华社伦敦', 1.0)('10月31日电', 1.0)
Article  1  : ('国', 1.0)('际市场贱金属价格新华社伦敦', 1.0)('10月31日电', 1.0)
Article  67  : ('0', 1.1303665184590583)('的', 1.0000000000000007)('建', 1.0000000000000004)('2', 1.0000000000000004)
Article  68  : ('危地马拉', 1.2299950493706597)('3', 1.1825532350034824)('2', 1.1426071995870328)('和', 1.0000000000000009)
Article  69  : ('如', 1.338997306933698)('中', 1.0778571602057911)('0', 1.031348511295357)('球', 1.0000000000000004)
Article  70  : ('娃', 1.2661266776598186)('华', 1.0000000000000004)('组', 1.0000000000000004)('古', 1.0000000000000002)
Article  71  : ('步', 1.382341499485597)('0', 1.223540818049579)('名', 1.0991773886338638)('排', 1.0000000000000004)
Article  72  : ('访问', 1.1664916806757148)('内地的', 1.0000000000000007)('和', 1.0000000000000007)('中', 1.0000000000000004)
Article  73  : ('n', 1.6992263805409473)('样', 1.0000000000000009)('业', 1.0000000000000007)('数', 1.0000000000000002)
Article  74  : ('新', 1.0000000000000018)('数', 1.0000000000000016)('华', 1.0000000000000009)('指', 1.0000000000000004)
Article  75  : ('以', 1.0000000000000007)('旅行', 1.0000000000000004)('银行与', 1.0000000000000002)('新华社上海11月2', 1.0000000000000002)
Article  76  : ('计算机', 1.0000000000000002)('计', 1.0000000000000002)('程', 1.0000000000000002)('新华社沈阳11月2', 1.0000000000000002)
Article  77  : ('1', 1.3537769507567832)('4', 1.1069700475395736)('北京', 1.0000000000000004)('提', 1.0000000000000004)
Article  78  : ('携手', 1.0000000000000007)('市', 1.0000000000000002)('27个', 1.0000000000000002)('艾滋病', 1.0000000000000002)
Article  79  : ('的', 1.0405560257911142)('上', 1.0000000000000002)('部', 1.0000000000000002)('最高人民检察院', 1.0000000000000002)
Article  80  : ('半决赛', 1.0000000000000004)('赛男', 1.0000000000000002)('参加', 1.0000000000000002)('前', 1.0000000000000002)
Article  81  : ('求', 1.4275617108711565)('9', 1.331572744015437)('0', 1.1039808601758334)('孙', 1.0000000000000004)
Article  82  : ('0', 1.1286923567520386)('这', 1.0000000000000004)('为', 1.0000000000000002)('障', 1.0000000000000002)
Article  83  : ('开展', 1.0000000000000004)('科技', 1.0000000000000002)('比', 1.0000000000000002)('武', 1.0000000000000002)
Article  84  : ('塞', 1.0000000000000004)('外', 1.0000000000000002)('举', 1.0000000000000002)('行', 1.0000000000000002)
Article  85  : ('重点城市空气质量日报新华社北京11月', 1.0)('24日电', 1.0)
Article  86  : ('1', 1.1214250792164706)('8', 1.0486239364183716)('市', 1.0000000000000007)('内', 1.0000000000000004)
Article  87  : ('1', 1.051247674254586)('邮币卡', 1.0000000000000002)('月23日', 1.0000000000000002)('宣布', 1.0000000000000002)
Article  88  : ('人', 1.2491826512911177)('顺', 1.0529327104730295)('4', 1.0000000000000007)('翁', 1.0000000000000004)
Article  89  : ('W', 8.107080670467182)('与', 1.0000000000000007)('有', 1.0000000000000004)('国', 1.0000000000000002)
Article  90  : ('银', 1.0000000000000004)('的', 1.0000000000000004)('银行与', 1.0000000000000002)('协', 1.0000000000000002)
Article  91  : ('网络', 1.0000000000000009)('安', 1.0000000000000004)('大', 1.0000000000000002)('举', 1.0000000000000002)
Article  92  : ('孝', 1.3289718862817494)('服', 1.3147056972754168)('公', 1.2536692148148154)('人', 1.0000000000000016)
Article  93  : ('财经', 1.0000000000000002)('刊', 1.0000000000000002)('新华社长沙11月2', 1.0000000000000002)('4', 1.0000000000000002)
Article  94  : ('庭', 1.2022395373534946)('法', 1.1229329382716047)('1', 1.1192012212142977)('沈', 1.0000000000000004)
Article  95  : ('大', 1.2747878600823042)('通', 1.0000000000000007)('西藏', 1.0000000000000004)('稳定发展', 1.0000000000000002)
Article  96  : ('观', 1.1145767259259254)('岁的', 1.0000000000000009)('身', 1.0000000000000007)('老', 1.0000000000000004)
Article  97  : ('0', 1.451027245995434)('有', 1.1762705211216165)('在欧洲', 1.0000000000000004)('进', 1.0000000000000004)
Article  98  : ('2', 1.1601264712234078)('几内亚比绍', 1.0000000000000004)('呼吁', 1.0000000000000004)('发', 1.0000000000000004)
Article  99  : ('2', 1.1870459452967062)('院', 1.1159499999999998)('所', 1.089381089298724)('在', 1.0000000000000004)
Article  100  : ('声', 1.2816923534192657)('团', 1.259182510742006)('区', 1.2173469387755091)('船', 1.1308634814814813)
Article  101  : ('2', 1.166668751833045)('0', 1.1085733762518073)('三', 1.071570050100033)('韩', 1.0000000000000013)
Article  102  : ('1', 1.1101310992262172)('政府', 1.0000000000000007)('参', 1.0000000000000004)('逮捕', 1.0000000000000002)
Article  103  : ('收', 1.040965684523225)('广播', 1.0000000000000009)('美', 1.0000000000000004)('调', 1.0000000000000002)
Article  104  : ('国', 1.0732734987171961)('的', 1.0000000000000004)('吴邦', 1.0000000000000002)('问', 1.0000000000000002)
Article  105  : ('成', 1.449389113432466)('2', 1.2239067055393582)('新', 1.1190068296602376)('1', 1.0083622685185185)
Article  106  : ('2', 1.064642622060205)('诉', 1.0284067488307655)('上', 1.0243397432598094)('的', 1.0236635817663766)
Article  107  : ('国', 1.0000000000000002)('生', 1.0000000000000002)('活', 1.0000000000000002)('日', 1.0000000000000002)
Article  108  : ('技术', 1.1096762235997342)('市', 1.053514811952733)('水', 1.0476562729277945)('工', 1.0226268014238749)
Article  109  : ('村', 1.1433508194896622)('户', 1.1326370205888243)('份', 1.0711355623187218)('致富', 1.000000000000001)
Article  110  : ('天', 1.260593174068087)('部分地区', 1.0000000000000004)('从', 1.0000000000000004)('冷空气', 1.0000000000000002)
Article  111  : ('笑', 1.296040283373499)('便', 1.159586047873306)('淡', 1.123762758613389)('小', 1.0959379557163915)
Article  112  : ('念', 1.3656092360153493)('细', 1.1395529828301463)('每一个', 1.0000000000000007)('的', 1.0000000000000007)
Article  113  : ('0', 1.2142180540212837)('可', 1.0000000000000004)('日', 1.0000000000000002)('电', 1.0000000000000002)
Article  114  : ('的', 1.0858322166682643)('发', 1.0000000000000004)('专', 1.0000000000000002)('家', 1.0000000000000002)
Article  115  : ('巴拿马', 1.0000000000000004)('议', 1.0000000000000004)('进', 1.0000000000000004)('在', 1.0000000000000004)
Article  116  : ('3', 1.13722471168013)('吨', 1.0000000000000004)('查', 1.0000000000000002)('获', 1.0000000000000002)
Article  117  : ('2', 1.214218054021284)('前', 1.0000000000000004)('呼吁', 1.0000000000000002)('给予', 1.0000000000000002)
Article  118  : ('用', 1.132864801689928)('试验', 1.0000000000000007)('一', 1.0000000000000007)('的', 1.0000000000000004)
Article  119  : ('水', 1.0099375950131988)('资源', 1.0000000000000024)('用', 1.0000000000000018)('国', 1.0000000000000004)
Article  120  : ('访问', 1.0000000000000004)('2', 1.0000000000000004)('伊万诺夫', 1.0000000000000004)('克', 1.0000000000000004)
Article  121  : ('的', 1.000000000000001)('可能被', 1.0000000000000007)('埃里克森', 1.0000000000000004)('人', 1.0000000000000004)
Article  122  : ('1', 1.6776816332904407)('者', 1.2152046442031854)('事故', 1.0000000000000004)('发', 1.0000000000000002)
Article  123  : ('年', 1.1971289025888814)('的', 1.0788097741504472)('据', 1.0000000000000004)('持续增', 1.0000000000000002)
Article  124  : ('冬', 1.2513297478589644)('访问', 1.0000000000000002)('新华社突尼斯11月', 1.0000000000000002)('23日电', 1.0000000000000002)
Article  125  : ('的访问', 1.0000000000000002)('回国', 1.0000000000000002)('新', 1.0000000000000002)('为期3天的', 1.0000000000000002)
Article  126  : ('用', 1.0000000000000007)('欧', 1.0000000000000007)('等', 1.0000000000000004)('元', 1.0000000000000004)
Article  127  : ('罗', 1.1793836582480026)('科', 1.0000000000000007)('得', 1.0000000000000002)('次', 1.0000000000000002)
Article  128  : ('9', 2.0603310939679247)('生', 1.0000000000000002)('导致', 1.0000000000000002)('和', 1.0000000000000002)
Article  129  : ('浩', 1.2747878600823042)('荡', 1.127831785048121)('9', 1.0000000000000004)('0万人', 1.0000000000000002)
Article  130  : ('1', 1.294633492279816)('2', 1.2857476476638134)('打', 1.0000000000000004)('科索沃', 1.0000000000000002)
Article  131  : ('吉', 2.908911000946421)('0', 1.4791434568107709)('开', 1.0000000000000009)('金', 1.0000000000000007)
Article  132  : ('到', 1.1633772971212355)('四', 1.1359901288853576)('队', 1.000000000000002)('的', 1.0000000000000013)
Article  133  : ('2', 1.1738683127572007)('国', 1.0854085211357514)('进', 1.0180943387084296)('外', 1.0000000000000004)
Article  134  : ('全线', 1.0000000000000004)('反弹', 1.0000000000000002)('终盘报收于6', 1.0000000000000002)('中', 1.0000000000000002)
Article  135  : ('西', 1.0000000000000002)('表示', 1.0000000000000002)('愿与', 1.0000000000000002)('交', 1.0000000000000002)
Article  136  : ('9', 1.3632877006175792)('4', 1.3493593331404783)('1', 1.293731252686422)('宗', 1.1294235893058373)
Article  137  : ('乌拉圭', 1.0000000000000007)('债券', 1.0000000000000007)('在', 1.0000000000000002)('新', 1.0000000000000002)
Article  138  : ('2', 1.1761585032052777)('内', 1.0333111870222733)('政府', 1.0000000000000004)('首', 1.0000000000000004)
Article  139  : ('在', 1.0000000000000004)('间', 1.0000000000000002)('的部分', 1.0000000000000002)('的国家', 1.0000000000000002)
Article  140  : ('有', 1.2113633136094677)('2', 1.17466111025019)('以色列', 1.0000000000000007)('欧盟', 1.0000000000000004)
Article  141  : ('店', 1.1563085286532881)('警方', 1.0000000000000007)('查', 1.0000000000000004)('1', 1.0000000000000004)
Article  142  : ('0', 1.1811183835737828)('实', 1.0000000000000004)('农', 1.0000000000000004)('施', 1.0000000000000002)
Article  143  : ('和', 1.166947595214842)('0', 1.0670507267304696)('国', 1.0466624073830888)('的', 1.0000000000000007)
Article  144  : ('4', 1.2513297478589644)('军', 1.0526287110258987)('国', 1.0000000000000007)('视察', 1.0000000000000004)
Article  145  : ('9', 1.3424336850186567)('议', 1.275937162661816)('2', 1.0000000000000002)('3', 1.0000000000000002)
Article  146  : ('环境污染', 1.0000000000000002)('3日在', 1.0000000000000002)('各国政府', 1.0000000000000002)('是', 1.0000000000000002)
Article  147  : ('伦敦外汇市场行情新华社伦敦11月', 1.0)('23日电', 1.0)
Article  148  : ('国际市场贱金属价格新华社伦敦11月', 1.0)('23日电', 1.0)
Article  149  : ('2', 1.078082604971439)('巴', 1.0000000000000004)('以', 1.0000000000000004)('总统府', 1.0000000000000002)
Article  150  : ('联邦军队', 1.0000000000000007)('国', 1.0000000000000004)('军', 1.0000000000000002)('人', 1.0000000000000002)
Article  151  : ('类', 1.0559637792491352)('的', 1.000000000000001)('品', 1.0000000000000007)('美', 1.0000000000000004)
Article  152  : ('国', 1.214839129826956)('1', 1.2142180540212837)('代表', 1.0000000000000002)('女', 1.0000000000000002)
Article  153  : ('人民币市场汇价新华社北京11月', 1.0)('24日电', 1.0)
Article  154  : ('0', 1.3483305413016582)('的', 1.0000000000000004)('联主席', 1.0000000000000002)('下周', 1.0000000000000002)
Article  155  : ('赫', 1.4010404610339509)('赛', 1.1783043316035968)('选手', 1.0000000000000004)('斯德哥尔摩网球公开赛', 1.0000000000000002)
Article  156  : ('馆', 1.0841944281287634)('碗', 1.0719326182573565)('的', 1.025462255469693)('2', 1.0252071516369423)
Article  157  : ('0', 1.4900449179596373)('切', 1.4867460221049873)('载', 1.2790907118055552)('依', 1.2499680675841327)
Article  158  : ('0', 1.1154339541194558)('2', 1.0842518518518518)('盟', 1.0000000000000009)('东', 1.0000000000000004)
Article  159  : ('的', 1.0000000000000018)('难民', 1.0000000000000007)('等', 1.0000000000000004)('肯尼亚', 1.0000000000000004)
Article  160  : ('2', 1.2232113048037079)('首', 1.0000000000000004)('新', 1.0000000000000002)('雅', 1.0000000000000002)
Article  161  : ('1', 1.2142180540212837)('埃塞俄比亚', 1.0000000000000002)('获', 1.0000000000000002)('乒乓球', 1.0000000000000002)
Article  162  : ('寨', 1.6677498561683244)('新', 1.4450538613260506)('岭', 1.2397114678831507)('沟', 1.2256196470914742)
Article  163  : ('融', 1.349359333140478)('1', 1.1398472748036075)('2', 1.0300207756232687)('后', 1.0000000000000004)
Article  164  : ('9', 1.3390356931374916)('生', 1.1066703649713852)('实', 1.0737570956043174)('年', 1.0095451242347904)
Article  165  : ('同', 1.0000000000000004)('犯罪分子', 1.0000000000000004)('在', 1.0000000000000004)('市公安局', 1.0000000000000002)
Article  166  : ('2', 1.1929958322354346)('种', 1.0886061941401641)('学', 1.0525659361164437)('部', 1.0291942671672125)
Article  167  : ('胎', 1.0832289381579625)('年', 1.075209077428508)('多', 1.0068043154642463)('族', 1.0000000000000004)
Article  168  : ('各', 1.1039808601758334)('白', 1.0082890272140503)('的', 1.000000000000004)('家', 1.0000000000000002)
Article  169  : ('领导干部', 1.0000000000000002)('任期', 1.0000000000000002)('新华社合肥11月2', 1.0000000000000002)('县', 1.0000000000000002)
Article  170  : ('涨', 1.4010404610339509)('0', 1.1005502881950975)('口', 1.0679642979799333)('1', 1.0631089952256945)
Article  171  : ('区', 1.2056295062001885)('造', 1.0000000000000013)('农', 1.0000000000000004)('建设', 1.0000000000000004)
Article  172  : ('9', 2.2487527090935058)('0', 1.4039174106858945)('虚', 1.1118207260745696)('一', 1.0020905671296296)
Article  173  : ('长', 1.0000000000000007)('这个', 1.0000000000000004)('长江水', 1.0000000000000002)('水利委员会', 1.0000000000000002)
Article  174  : ('G', 1.5134288233955397)('因', 1.0000000000000009)('科学家发现', 1.0000000000000002)('电', 1.0000000000000002)
Article  175  : ('的', 1.0549511135950662)('警', 1.0000000000000007)('京城', 1.0000000000000004)('犯罪嫌疑', 1.0000000000000004)
Article  176  : ('海', 1.0000000000000002)('关', 1.0000000000000002)('今年以来', 1.0000000000000002)('50多', 1.0000000000000002)
Article  177  : ('级', 1.1783043316035968)('内蒙古', 1.0000000000000007)('高等院校', 1.0000000000000007)('学', 1.0000000000000007)
Article  178  : ('捐', 1.1193201178178502)('雪', 1.0000000000000004)('云南', 1.0000000000000002)('各', 1.0000000000000002)
Article  179  : ('1', 1.1066168187224834)('平', 1.0000000000000004)('南', 1.0000000000000002)('次向', 1.0000000000000002)
Article  180  : ('国', 1.1111569480517436)('其', 1.0000000000000004)('法', 1.0000000000000002)('3', 1.0000000000000002)
Article  181  : ('关', 1.0000000000000009)('出境', 1.0000000000000007)('4', 1.0000000000000004)('在', 1.0000000000000004)
Article  182  : ('7', 1.3677235599065587)('台', 1.1843280210855103)('建', 1.0000000000000007)('明', 1.0000000000000004)
Article  183  : ('1', 1.0731285026971864)('新区', 1.0000000000000004)('4', 1.0000000000000002)('日', 1.0000000000000002)
Article  184  : ('漫', 1.2173469387755094)('民', 1.1735541525308302)('大', 1.1089442122053355)('一', 1.0755835634977695)
Article  185  : ('2', 1.1746318335999995)('民', 1.1118207260745696)('规模', 1.0000000000000007)('继续', 1.0000000000000004)
Article  186  : ('国', 1.1339854610799216)('黑龙江省', 1.0000000000000004)('产', 1.0000000000000004)('为', 1.0000000000000002)
Article  187  : ('2', 1.309931687242798)('的', 1.0000000000000009)('江', 1.0000000000000004)('为', 1.0000000000000004)
Article  188  : ('处', 1.098299319727891)('多', 1.0000000000000007)('两个文明建设', 1.0000000000000002)('智', 1.0000000000000002)
Article  189  : ('上', 1.137123763887432)('1', 1.0083622685185185)('漓江', 1.0000000000000007)('桂林市', 1.0000000000000004)
Article  190  : ('业', 1.0000000000000007)('生态环境', 1.0000000000000004)('省内', 1.0000000000000004)('生', 1.0000000000000002)
Date  20001125
Article  0  : ('人', 1.0000000000000007)('开始', 1.0000000000000004)('金', 1.0000000000000004)('非洲', 1.0000000000000002)
Article  1  : ('9', 1.5656109277857493)('一', 1.0000000000000004)('承认', 1.0000000000000004)('禁赛', 1.0000000000000004)
Article  2  : ('1', 1.238937938374484)('国', 1.0000000000000004)('战', 1.0000000000000002)('之', 1.0000000000000002)
Article  3  : ('1', 1.1105958544720016)('的', 1.070350349350431)('连', 1.0000000000000004)('任', 1.0000000000000004)
Article  4  : ('0', 1.7851764415118165)('举办', 1.0000000000000002)('亚洲', 1.0000000000000002)('政府', 1.0000000000000002)
